Gol,Jornada,Minuto,Equipo,Goleador,Rival,Local,Resultado,Resultado Final,Penalty,Propia Puerta
934,35,80,Sevilla,Coke,Betis,1,2-0,2-0,0,0
935,35,59,Getafe,Medrán,Valencia,1,1-1,2-2,0,0
936,35,69,Getafe,Stefan,Valencia,1,2-1,2-2,0,0
937,35,48,Valencia,Parejo,Getafe,0,0-1,2-2,0,0
938,35,83,Valencia,Paco Alcácer,Getafe,0,2-2,2-2,0,0
939,35,13,Levante,Casadesús,Athletic,1,1-0,2-2,0,0
940,35,67,Levante,Etxeita,Athletic,1,2-0,2-2,0,1
941,35,88,Athletic,Susaeta,Levante,0,2-1,2-2,0,0
942,35,91,Athletic,San José,Levante,0,2-2,2-2,0,0
943,35,7,Eibar,Adrián,Deportivo,1,1-0,1-1,0,0
944,35,71,Deportivo,Fede Cartabia,Eibar,0,1-1,1-1,0,0
945,35,12,Barcelona,Messi,Sporting,1,1-0,6-0,0,0
946,35,64,Barcelona,Luis Suárez,Sporting,1,2-0,6-0,0,0
947,35,74,Barcelona,Luis Suárez,Sporting,1,3-0,6-0,1,0
948,35,77,Barcelona,Luis Suárez,Sporting,1,4-0,6-0,1,0
949,35,86,Barcelona,Neymar,Sporting,1,5-0,6-0,1,0
950,35,88,Barcelona,Luis Suárez,Sporting,1,6-0,6-0,0,0
951,35,62,Atlético,Correa,Málaga,1,1-0,1-0,0,0
952,35,7,Rayo,Embarba,R. Madrid,1,1-0,2-3,0,0
953,35,14,Rayo,Miku,R. Madrid,1,2-0,2-3,0,0
954,35,35,R. Madrid,Bale,Rayo,0,2-1,2-3,0,0
955,35,51,R. Madrid,Lucas Vázquez,Rayo,0,2-2,2-3,0,0
956,35,81,R. Madrid,Bale,Rayo,0,2-3,2-3,0,0
957,35,45,Las Palmas,El Zhar,Espanyol,1,1-0,4-0,0,0
958,35,49,Las Palmas,Jonathan Viera,Espanyol,1,2-0,4-0,0,0
959,35,56,Las Palmas,Bigas,Espanyol,1,3-0,4-0,0,0
960,35,75,Las Palmas,Wakaso,Espanyol,1,4-0,4-0,0,0
961,36,30,Málaga,Cop,Levante,1,1-0,3-1,0,0
962,36,89,Málaga,Cop,Levante,1,2-1,3-1,0,0
963,36,93,Málaga,Chory Castro,Levante,1,3-1,3-1,0,0
964,36,42,Levante,Morales,Málaga,0,1-1,3-1,0,0
965,36,80,R. Madrid,Bale,R. Sociedad,0,0-1,0-1,0,0
966,36,55,Atlético,Griezmann,Rayo,1,1-0,1-0,0,0
967,36,50,Barcelona,Rakitic,Betis,0,0-1,0-2,0,0
968,36,81,Barcelona,Luis Suárez,Betis,0,0-2,0-2,0,0
969,36,43,Sporting,Carmona,Eibar,1,1-0,2-0,0,0
970,36,81,Sporting,Jony,Eibar,1,2-0,2-0,0,0
971,36,38,Athletic,Aduriz,Celta,1,1-1,2-1,1,0
972,36,72,Athletic,Raúl García,Celta,1,2-1,2-1,0,0
973,36,13,Celta,Orellana,Athletic,0,0-1,2-1,0,0
974,36,52,Espanyol,Caicedo,Sevilla,1,1-0,1-0,0,0
975,36,41,Getafe,Pedro León,Deportivo,0,0-1,0-2,0,0
976,36,85,Getafe,Vigaray,Deportivo,0,0-2,0-2,0,0
977,36,14,Villarreal,Samuel,Valencia,0,0-1,0-2,0,0
978,36,33,Villarreal,Adrián,Valencia,0,0-2,0-2,0,0
979,36,13,Granada,Rochina,Las Palmas,1,1-2,3-2,0,0
980,36,22,Granada,El-Arabi,Las Palmas,1,2-2,3-2,0,0
981,36,70,Granada,Ricardo Costa,Las Palmas,1,3-2,3-2,0,0
982,36,3,Las Palmas,Jonathan Viera,Granada,0,0-1,3-2,0,0
983,36,12,Las Palmas,Jonathan Viera,Granada,0,0-2,3-2,0,0
984,37,8,Barcelona,Messi,Espanyol,1,1-0,5-0,0,0
985,37,52,Barcelona,Luis Suárez,Espanyol,1,2-0,5-0,0,0
986,37,61,Barcelona,Luis Suárez,Espanyol,1,3-0,5-0,0,0
987,37,74,Barcelona,Rafinha,Espanyol,1,4-0,5-0,0,0
988,37,83,Barcelona,Neymar,Espanyol,1,5-0,5-0,0,0
989,37,30,Levante,Casadesús,Atlético,1,1-1,2-1,0,0
990,37,90,Levante,Rossi,Atlético,1,2-1,2-1,0,0
991,37,2,Atlético,Fernando Torres,Levante,0,0-1,2-1,0,0
992,37,26,R. Madrid,Cristiano Ronaldo,Valencia,1,1-0,3-2,0,0
993,37,42,R. Madrid,Benzema,Valencia,1,2-0,3-2,0,0
994,37,59,R. Madrid,Cristiano Ronaldo,Valencia,1,3-1,3-2,0,0
995,37,55,Valencia,Rodrigo,R. Madrid,0,2-1,3-2,0,0
996,37,81,Valencia,André Gomes,R. Madrid,0,3-2,3-2,0,0
997,37,32,Deportivo, Fajr,Villarreal,0,0-1,0-2,0,0
998,37,56,Deportivo,Lucas Pérez,Villarreal,0,0-2,0-2,0,0
999,37,74,Sevilla,Diego González,Granada,1,1-1,1-4,0,0
1000,37,46,Granada,Cuenca,Sevilla,0,0-1,1-4,0,0
1001,37,79,Granada,Babin,Sevilla,0,1-2,1-4,0,0
1002,37,86,Granada,El-Arabi,Sevilla,0,1-3,1-4,1,0
1003,37,88,Granada,Cuenca,Sevilla,0,1-4,1-4,0,0
1004,37,80,Getafe,Scepovic,Sporting,1,1-1,1-1,0,0
1005,37,50,Sporting,Sergio Álvarez,Getafe,0,0-1,1-1,0,0
1006,37,12,R. Sociedad,Oyarzabal,Rayo,1,1-0,2-1,0,0
1007,37,50,R. Sociedad,Bautista,Rayo,1,2-0,2-1,0,0
1008,37,69,Rayo,Javi Guerra,R. Sociedad,0,2-1,2-1,0,0
1009,37,73,Eibar,Sergi Enrich,Betis,1,1-1,1-1,0,0
1010,37,37,Betis,Rubén Castro,Eibar,0,0-1,1-1,0,0
1011,37,31,Celta,Nolito,Málaga,1,1-0,1-0,0,0
1012,38,56,Betis,Pezzella,Getafe,1,1-0,2-1,0,0
1013,38,73,Betis,Rubén Castro,Getafe,1,2-0,2-1,1,0
1014,38,84,Getafe,Medrán,Betis,0,2-1,2-1,0,0
1015,38,7,Sporting,Jony,Villarreal,1,1-0,2-0,0,0
1016,38,79,Sporting,Sergio Álvarez,Villarreal,1,2-0,2-0,0,0
1017,38,12,Rayo,Pablo Hernández,Levante,1,1-0,3-1,0,0
1018,38,23,Rayo,Trashorras,Levante,1,2-0,3-1,0,0
1019,38,73,Rayo,Miku,Levante,1,3-1,3-1,0,0
1020,38,60,Levante,Verza,Rayo,0,2-1,3-1,1,0
1021,38,12,Espanyol,Gerard Moreno,Eibar,1,1-0,4-2,0,0
1022,38,31,Espanyol,Marco Asensio,Eibar,1,2-0,4-2,0,0
1023,38,67,Espanyol,Marco Asensio,Eibar,1,3-1,4-2,0,0
1024,38,76,Espanyol,Gerard Moreno,Eibar,1,4-1,4-2,0,0
1025,38,57,Eibar,Borja Bastón,Espanyol,0,2-1,4-2,0,0
1026,38,90,Eibar,Sergi Enrich,Espanyol,0,4-2,4-2,0,0
1027,38,94,R. Sociedad,Oyarzabal,Valencia,0,0-1,0-1,0,0
1028,38,22,Barcelona,Luis Suárez,Granada,0,0-1,0-3,0,0
1029,38,38,Barcelona,Luis Suárez,Granada,0,0-2,0-3,0,0
1030,38,86,Barcelona,Luis Suárez,Granada,0,0-3,0-3,0,0
1031,38,7,R. Madrid,Cristiano Ronaldo,Deportivo,0,0-1,0-2,0,0
1032,38,25,R. Madrid,Cristiano Ronaldo,Deportivo,0,0-2,0-2,0,0
1033,38,51,Atlético,Fernando Torres,Celta,1,1-0,2-0,0,0
1034,38,54,Atlético,Griezmann,Celta,1,2-0,2-0,0,0
1035,38,10,Athletic,Aduriz,Sevilla,1,1-0,3-1,0,0
1036,38,31,Athletic,Aduriz,Sevilla,1,2-0,3-1,0,0
1037,38,70,Athletic,Raúl García,Sevilla,1,3-1,3-1,0,0
1038,38,55,Sevilla,Juan Muñoz,Athletic,0,2-1,3-1,0,0
1039,38,28,Málaga,Cop,Las Palmas,1,1-0,4-1,0,0
1040,38,48,Málaga,Charles,Las Palmas,1,2-1,4-1,0,0
1041,38,83,Málaga,Atsu,Las Palmas,1,3-1,4-1,0,0
1042,38,87,Málaga,Charles,Las Palmas,1,4-1,4-1,0,0
1043,38,33,Las Palmas,Willian José,Málaga,0,1-1,4-1,0,0
